URL,Page title,Content type,HTTP status,Canonical URL,In XML sitemap,Indexability (robots meta),Target topic / query,Important internal links (inbound seen / outbound),Backlinks / referrers,Search Console 90d clicks,Search Console 90d impressions,Leading queries,Outdated internal/external links,Outdated pricing,Unsupported generation-speed claim,Unsupported installation claim,Outdated screenshots,Other findings,Recommendation (documentation only),Proposed destination on squarespellquiz.com (future),Discovery source(s)
https://squarespell.com/quiz/,Squarespace Quiz Builder | AI Quiz Maker,"Product landing page (SaaS marketing, hosted on marketplace WordPress)",301 from /quiz to /quiz/ then 200,Unavailable (no canonical tag found),No (absent from page-sitemap.xml),"noindex, nofollow (robots meta) - page is excluded from search by its own tag",squarespace quiz builder; squarespell quiz,"Inbound: none found in home, /blog/, /browse/, /plugins/ or any of 106 fetched pages/posts/listings. Outbound: not audited",Unavailable (no backlink tool; Search Console Links report not opened this pass),13,311,"Group-level only for all quiz URLs, 90 days: 'squarespell quiz' 7 clicks/86 impr; 'squarespace quiz' 0/92; 'squarespace quiz builder' 0/41; 'smart quiz builder' 0/23; 'typeform squarespace' 0/16. Per-URL query split Unavailable",Unavailable (link crawl not run),No prices shown in visible copy; plan gating text refers to Core/Pro/Business plans,"'60 seconds' generation claim (twice). 'ready in 30 seconds' / '60 seconds' generation claims conflict with the app: frontend timeouts are 75s (marketing funnel) and 150s (dashboard generator), Anthropic client has no explicit timeout (TryFlowInner.tsx:20; quizTemplates.ts); no measured timing evidence","'~2 minutes' / 'One-click embed' / 'live in under 10 minutes' not supported: the app implements a manual Code Block paste (no OAuth or API insertion; backend/migrations/004 removed Squarespace OAuth), consistent with official Squarespace docs; 'median 11 minutes' statistic has no evidence (9 app users). Also says Code Block 'requires a Business plan or higher' - Squarespace docs list Core/Plus/Advanced (and legacy Business) for code blocks with JS",Unavailable (not assessed),"Confirmed: returns 200 but missing from XML sitemap AND noindex. Unverified claims: 'tested on all Squarespace 7.1 and 7.0 templates', 'Zapier 3,000+ apps', 'A/B testing on Pro and Business', 'Core allows up to 5 quizzes'; '14-DAY PRO TRIAL - NO CREDIT CARD'",Copy later (claims to be corrected first); marketplace page stays live and unchanged,/ (home) and /platforms/squarespace,Search Console pages report; direct fetch; not in sitemap
https://squarespell.com/squarespace-blog/quiz-funnel-squarespace-lead-generation/,Quiz Funnels for Squarespace: Playbook | Squarespell,Blog post,200,self,Yes (post-sitemap.xml),"index, follow",quiz funnel squarespace lead generation,"Inbound: /blog/, /category/squarespace-blog/. Outbound: not audited",Unavailable (no backlink tool; Search Console Links report not opened this pass),1,236,"Group-level only for all quiz URLs, 90 days: 'squarespell quiz' 7 clicks/86 impr; 'squarespace quiz' 0/92; 'squarespace quiz builder' 0/41; 'smart quiz builder' 0/23; 'typeform squarespace' 0/16. Per-URL query split Unavailable",Unavailable (link crawl not run),"Publishes SaaS prices (Core $9/mo, Pro $16/mo, Business $29/mo, annual billing; 14-day Pro trial, no card). Matches annual prices in app frontend/lib/planCatalog.ts (monthly billing $12/$19/$35 not shown); live Stripe (inspected read-only 19 Sep 2026) holds different plan products - Starter $19, Pro $39, Agency $79 per month and yearly $180/$372/$756 - so these published Core/Pro/Business prices do not match live Stripe products; see Phase 0 results section 6. Marketplace WordPress pages carry SaaS pricing that must be kept in sync with the app","'ready in 30 seconds'. 'ready in 30 seconds' / '60 seconds' generation claims conflict with the app: frontend timeouts are 75s (marketing funnel) and 150s (dashboard generator), Anthropic client has no explicit timeout (TryFlowInner.tsx:20; quizTemplates.ts); no measured timing evidence",'every Squarespace template' compatibility claim not evidenced,Unavailable,"Presents '40% average opt-in rate', '73% quiz completion rate', '4.1x vs standard forms' attributed to Squarespell Quiz; app DB holds 0 leads, so no first-party evidence exists",Update later then copy later,/learn/quiz-funnels (or /solutions/lead-qualification),post-sitemap.xml; page fetch; Search Console
https://squarespell.com/squarespace-blog/how-to-add-a-quiz-to-squarespace-website-2026-guide/,Add a Quiz to Squarespace in 2 Minutes | Squarespell,Blog post (install guide),200,self,Yes,"index, follow",how to add a quiz to squarespace,Inbound: /blog/. Outbound: not audited,Unavailable (no backlink tool; Search Console Links report not opened this pass),5,345,"Group-level only for all quiz URLs, 90 days: 'squarespell quiz' 7 clicks/86 impr; 'squarespace quiz' 0/92; 'squarespace quiz builder' 0/41; 'smart quiz builder' 0/23; 'typeform squarespace' 0/16. Per-URL query split Unavailable",Unavailable,"Publishes SaaS prices (Core $9/mo, Pro $16/mo, Business $29/mo, annual billing; 14-day Pro trial, no card). Matches annual prices in app frontend/lib/planCatalog.ts (monthly billing $12/$19/$35 not shown); live Stripe (inspected read-only 19 Sep 2026) holds different plan products - Starter $19, Pro $39, Agency $79 per month and yearly $180/$372/$756 - so these published Core/Pro/Business prices do not match live Stripe products; see Phase 0 results section 6. Marketplace WordPress pages carry SaaS pricing that must be kept in sync with the app",'approximately 2 minutes from URL paste to live embed',"Title and body claim 2-minute install; official Squarespace docs require manual Code Block/Custom Code placement; 'One generated snippet, no coding' is the honest part",Unavailable,Confirmed finding: '2 Minutes' requires evidence or future correction,Update later then copy later,/platforms/squarespace,post-sitemap.xml; Search Console
https://squarespell.com/squarespace-blog/squarespace-quiz-templates-16-proven-designs-by-industry/,16 Squarespace Quiz Templates by Industry | Squarespell,Blog post (template showcase),200,self,Yes,"index, follow",squarespace quiz templates,"Inbound: /blog/, /category/squarespace-blog/, common-ninja-personality-quiz product page",Unavailable (no backlink tool; Search Console Links report not opened this pass),1,30,"Group-level only for all quiz URLs, 90 days: 'squarespell quiz' 7 clicks/86 impr; 'squarespace quiz' 0/92; 'squarespace quiz builder' 0/41; 'smart quiz builder' 0/23; 'typeform squarespace' 0/16. Per-URL query split Unavailable",Unavailable,"Publishes SaaS prices (Core $9/mo, Pro $16/mo, Business $29/mo, annual billing; 14-day Pro trial, no card). Matches annual prices in app frontend/lib/planCatalog.ts (monthly billing $12/$19/$35 not shown); live Stripe (inspected read-only 19 Sep 2026) holds different plan products - Starter $19, Pro $39, Agency $79 per month and yearly $180/$372/$756 - so these published Core/Pro/Business prices do not match live Stripe products; see Phase 0 results section 6. Marketplace WordPress pages carry SaaS pricing that must be kept in sync with the app",Setup claims in copy; see /quiz row,'no manual setup' style claims not evidenced,Unavailable,"Says '16 templates: 13 image-and-text, 3 video-led'. Real catalog check: VERIFIED against repo Squarespell/squarespell main@091f1cd: QUIZ_TEMPLATE_CATALOG (frontend/lib/quiz/templates.ts:1690-1919) contains exactly 16 unique, non-hidden templates, 3 of them video-led (13 image-and-text) - the '16' and the 13/3 split are consistent. Stale header comment in that file says '13 templates' (category count). Separate 20-entry backend seed set exists (seedTemplates.ts), not the public catalog. Also cites unsourced '30-40% higher completion' statistic",Update later then copy later,/templates,post-sitemap.xml; Search Console
https://squarespell.com/squarespace-blog/squarespace-quiz-builder-vs-typeform-outgrow/,Squarespace Quiz Builder vs Typeform | Squarespell,Blog post (comparison),200,self,Yes,"index, follow",squarespace quiz builder vs typeform,Inbound: /blog/,Unavailable (no backlink tool; Search Console Links report not opened this pass),1,337,"Group-level only for all quiz URLs, 90 days: 'squarespell quiz' 7 clicks/86 impr; 'squarespace quiz' 0/92; 'squarespace quiz builder' 0/41; 'smart quiz builder' 0/23; 'typeform squarespace' 0/16. Per-URL query split Unavailable",Unavailable,"Publishes SaaS prices (Core $9/mo, Pro $16/mo, Business $29/mo, annual billing; 14-day Pro trial, no card). Matches annual prices in app frontend/lib/planCatalog.ts (monthly billing $12/$19/$35 not shown); live Stripe (inspected read-only 19 Sep 2026) holds different plan products - Starter $19, Pro $39, Agency $79 per month and yearly $180/$372/$756 - so these published Core/Pro/Business prices do not match live Stripe products; see Phase 0 results section 6. Marketplace WordPress pages carry SaaS pricing that must be kept in sync with the app. Competitor prices (Typeform, Outgrow $14/mo, $29/mo) not re-verified",'Setup: ~2 minutes' comparison row,Same as above,Unavailable,Only comparison asset; competitor table must be re-sourced before reuse,Update later then copy later,/comparisons/typeform,post-sitemap.xml; Search Console
https://squarespell.com/squarespace-blog/the-complete-guide-to-adding-an-interactive-quiz-plugin-to-your-squarespace-website-with-lifetime-access/,Squarespace Quiz Plugin Complete Setup Guide | Squarespell,Blog post (legacy plugin guide),200,self,Yes,"index, follow",squarespace interactive quiz plugin lifetime access,"Inbound: /blog/, squarespace-ecommerce-review-2026. Outbound: legacy plugin product page",Unavailable (no backlink tool; Search Console Links report not opened this pass),10,989,"Group-level only for all quiz URLs, 90 days: 'squarespell quiz' 7 clicks/86 impr; 'squarespace quiz' 0/92; 'squarespace quiz builder' 0/41; 'smart quiz builder' 0/23; 'typeform squarespace' 0/16. Per-URL query split Unavailable",Unavailable,"Says competitors charge Typeform $25-$50/mo, Outgrow $14-$95/mo, Interact $27-$125/mo - unverified","Not applicable (plugin, not AI SaaS)",'Installation takes 10 minutes through simple copy-paste' - consistent with Code Block paste but unmeasured; also 'reduce bounce 40-60%' style claims unsourced,Unavailable,"Highest-traffic quiz article and it belongs to the LEGACY marketplace product, not the SaaS",Keep on squarespell.com (protected legacy content),Not applicable - remains on squarespell.com,post-sitemap.xml; Search Console
https://squarespell.com/premium-plugins/p/interactive-quiz-plugin-squarespace-7-1-email-capture/,Interactive Quiz Plugin for Squarespace 7.1,WooCommerce product (LEGACY one-time quiz plugin),200,self,Yes (product-sitemap),"index, follow",interactive quiz plugin squarespace,"Inbound: home page, 6 blog posts (enhance-functionality, ecommerce-review-2026, extensions-vs-plugins, plugins-for-coaches, product-filter-plugin, 26-best-plugins), lifetime-guide article. Outbound: cart, licence selector",Unavailable (no backlink tool; Search Console Links report not opened this pass),3 (canonical form); 0/7 trailing-slash form; 0/44 http form,183 (canonical form); 7 trailing-slash form; 44 http form,"Group-level only for all quiz URLs, 90 days: 'squarespell quiz' 7 clicks/86 impr; 'squarespace quiz' 0/92; 'squarespace quiz builder' 0/41; 'smart quiz builder' 0/23; 'typeform squarespace' 0/16. Per-URL query split Unavailable",Unavailable,INCONSISTENT: selector shows Single License $45 and Multi-Use License $95 (Unlimited Websites); FAQ says 'One-time purchase $49 for a single site licence',Not applicable,"'Setup in 10 minutes' / 'Easy Setup: 10 minutes, no coding needed' (unmeasured)",Unavailable,"Exact entitlement wording: 'That includes lifetime updates and ongoing support. No monthly fees, no hidden charges.' Delivery: Instant download. Support: free installation assistance; priority email support within 48 hours. 'Creator last updated Aug 2026'. Slug contains -7-1-email-capture (confirmed). PROTECTED - do not modify",Keep unchanged (protected legacy product),Not applicable - remains on squarespell.com; no redirect,product-sitemap; Search Console; page fetch
https://squarespell.com/premium-plugins/p/interactive-quiz-plugin-squarespace-7-1-email-capture/?licence=multi (also reached via /...-email-capture-multi-use-license/ and /p//...-multi-use-license),"Same product page, Multi-Use licence variant",WooCommerce product variant URL (LEGACY),301 to ?licence=multi then 200,Unavailable,No (variant/redirect URLs),Redirects to the indexed product page,interactive quiz plugin multi-use license,Linked from product page licence selector,Unavailable (no backlink tool; Search Console Links report not opened this pass),1 (//multi-use-license form); 0/3 (http form),28 (//multi-use-license form); 3 (http form),Unavailable,Google indexed double-slash and http variants,Multi-Use $95 (Unlimited Websites); FAQ mentions per-site licences and bundle pricing beyond three licences - wording inconsistent with 'unlimited',Not applicable,Not applicable,Unavailable,Second entitlement tier (multi-use) exists and was not in earlier inventory,Keep unchanged (protected legacy product),Not applicable,Search Console; redirect check
https://squarespell.com/premium-plugins/p//interactive-quiz-plugin-squarespace-7-1-email-capture (double slash) and http:// variant,Duplicate URL forms of legacy product,Redirecting duplicate URLs,301 to canonical product URL,Unavailable,No,Redirects,interactive quiz plugin squarespace,Unavailable,Unavailable (no backlink tool; Search Console Links report not opened this pass),2 (double-slash); 0 (http),94 (double-slash); 44 (http),Unavailable,"Malformed double-slash URLs are receiving impressions, implying external/internal links use the malformed form",Not applicable,Not applicable,Not applicable,Unavailable,Legacy URL hygiene only,Keep unchanged; record only,Not applicable,Search Console
https://squarespell.com/tools/quiz-builder-for-squarespace,Not found,Former or planned tool URL,404,Not applicable,No,Not applicable (404),quiz builder for squarespace,None seen,Unavailable (no backlink tool; Search Console Links report not opened this pass),0,16,Unavailable,Google still has this URL,Not applicable,Not applicable,Not applicable,Not applicable,Broken URL still receiving impressions - the only 404 among quiz URLs,Retire later (decide redirect vs leave 404 when marketplace changes are separately authorized),Not applicable,Search Console
